age,marital,address,income,ed,employ,jobsat,gender,reside
61,0,27,11,3,12,2,f,1
25,1,3,20,1,9,2,f,3
35,0,11,116,5,5,3,m,1
60,0,37,43,1,8,2,m,1
37,0,9,54,5,11,5,m,1
38,0,8,76,3,13,4,f,1
46,0,7,36,2,13,2,f,1
43,0,0,56,4,3,4,m,1
40,1,18,50,4,5,3,m,6
34,0,14,22,3,5,2,f,1
40,1,0,33,5,3,2,m,3
44,1,11,41,5,5,1,f,6
28,1,5,41,2,6,1,m,5
47,1,8,65,4,11,4,m,3
23,1,2,25,3,1,1,m,3
51,1,4,33,2,1,2,m,2
39,1,0,23,1,2,4,m,2
54,1,33,61,1,11,5,f,2
54,0,21,314,3,24,5,f,1
28,0,6,42,2,8,3,m,4
26,1,6,26,5,0,1,f,2
42,1,22,58,5,2,2,f,4
44,1,14,40,1,7,4,f,2
41,1,1,43,3,17,5,f,5
40,1,8,33,1,8,4,m,2
39,1,15,52,2,12,4,f,3
35,0,8,57,3,6,4,m,1
45,1,17,143,3,7,4,f,2
48,1,17,56,4,18,5,f,6
71,0,50,69,1,21,3,f,1
31,0,11,34,2,4,4,m,1
50,1,16,346,5,15,1,m,2
55,0,13,167,5,25,5,m,2
32,1,7,27,2,0,1,m,4
51,0,15,126,2,30,4,f,1
52,0,18,46,2,23,4,m,1
46,0,7,33,3,0,3,f,1
49,0,30,349,3,27,4,m,1
48,0,23,40,1,0,1,m,2
23,0,0,20,4,0,1,f,1
52,1,24,73,1,19,4,f,3
50,0,19,66,3,28,5,m,1
60,1,35,102,2,23,5,f,2
21,0,1,14,2,0,2,m,4
36,1,1,45,5,8,3,m,2
49,0,8,50,1,8,3,m,1
48,1,25,123,4,18,3,m,6
25,0,4,64,3,4,3,f,3
35,1,4,28,2,4,2,f,3
49,0,25,102,5,1,1,f,1
47,1,11,107,4,22,5,m,3
27,0,5,26,2,8,3,f,3
34,1,11,24,2,1,2,f,7
36,1,17,30,1,6,1,f,5
50,1,22,37,1,6,4,m,2
29,0,2,28,5,1,4,f,1
33,1,13,21,1,0,3,m,3
42,0,13,26,1,7,3,m,1
33,1,13,23,1,5,3,m,4
30,1,6,32,3,9,1,m,3
51,0,32,146,1,26,5,m,1
27,0,3,28,3,0,1,m,1
29,0,7,16,3,5,4,m,1
32,0,3,37,4,5,1,m,1
44,1,5,31,1,9,5,m,4
34,1,15,112,4,10,5,m,5
20,1,1,32,3,0,1,f,2
49,0,17,78,1,17,3,m,1
34,0,14,100,4,5,5,f,1
34,1,9,30,2,12,3,m,2
31,0,10,51,2,10,5,f,1
39,1,20,238,4,15,5,f,2
33,1,14,42,4,0,3,m,6
54,1,29,69,1,23,2,f,6
31,0,5,60,4,4,2,f,1
34,0,6,71,1,12,3,f,2
29,1,2,28,4,2,4,f,4
24,0,2,15,1,3,4,m,1
49,1,22,154,2,19,5,f,6
19,1,0,14,1,1,4,f,3
49,0,5,35,1,12,5,f,1
40,0,16,50,4,9,2,m,1
28,0,0,74,5,0,1,f,1
36,1,6,130,3,11,5,f,5
46,0,6,46,4,15,5,m,1
24,1,3,25,3,1,2,f,6
38,1,3,78,3,9,3,m,4
31,0,5,28,3,7,5,m,1
37,0,7,58,2,10,2,m,2
58,0,1,17,5,4,3,m,1
37,0,6,31,5,8,3,f,2
73,0,25,11,1,35,3,m,1
44,0,15,27,2,11,3,f,1
66,0,1,68,2,14,3,f,1
50,0,4,70,2,11,4,f,1
30,0,10,25,4,0,2,m,1
41,0,7,28,3,11,1,f,2
57,0,13,143,1,33,5,m,1
71,0,11,147,4,37,4,m,1
53,1,26,81,2,17,4,m,2
38,0,15,56,2,14,3,f,1
46,0,17,114,4,13,2,m,1
61,0,32,29,2,4,1,f,2
48,1,0,28,1,3,3,f,5
35,1,14,19,5,8,5,f,4
55,1,1,345,4,27,4,f,3
51,0,10,143,2,23,3,m,2
45,0,10,61,2,23,2,f,1
50,1,29,86,3,14,4,m,2
36,0,11,49,1,8,4,f,2
44,1,13,49,1,10,4,f,3
38,0,11,25,2,1,1,m,1
50,0,8,61,4,10,4,f,1
37,0,9,57,2,9,4,m,1
48,0,11,201,4,25,1,f,1
46,1,5,35,1,6,1,m,2
51,0,10,51,3,2,1,m,1
22,1,2,21,4,0,1,f,7
72,0,20,17,1,25,5,m,1
61,0,12,23,3,14,3,f,1
40,1,19,29,3,3,3,m,4
49,0,27,39,1,20,4,m,1
43,1,15,91,2,24,4,m,4
26,0,1,31,1,8,4,f,1
41,1,18,152,1,22,2,f,4
44,1,9,40,1,12,3,m,2
27,0,4,102,4,0,1,m,2
48,0,16,98,4,2,2,f,1
44,1,19,39,3,13,2,f,4
53,0,16,254,4,12,4,f,1
41,0,14,71,4,9,4,f,1
63,0,23,118,2,38,3,m,1
29,1,3,42,1,10,5,m,3
39,0,6,81,2,16,3,f,1
39,1,1,26,3,8,3,f,2
36,0,15,87,4,11,3,m,1
28,1,4,68,1,8,5,m,6
54,0,5,130,1,33,4,m,1
36,1,8,78,2,16,3,f,4
57,0,13,1070,3,36,4,f,1
41,0,16,42,1,21,5,m,1
31,1,3,45,3,1,2,m,7
39,1,7,93,4,12,3,f,2
54,0,23,151,4,18,4,m,1
49,0,20,104,3,17,4,f,2
54,1,31,120,1,26,4,m,2
36,1,5,33,3,3,1,f,3
53,1,29,111,4,19,4,m,4
60,1,8,9,3,0,2,m,2
29,1,9,29,1,10,3,f,6
50,1,0,24,1,9,2,f,2
62,1,7,50,2,8,3,m,2
44,0,16,100,1,20,5,m,1
65,1,35,235,1,40,3,f,2
56,0,23,210,1,32,5,f,1
32,1,2,40,4,2,1,f,4
40,0,1,86,4,12,2,m,1
20,1,0,19,2,0,1,f,4
59,1,1,16,2,18,5,m,3
58,0,7,10,2,32,4,m,1
37,1,2,75,5,3,1,f,3
52,0,1,123,2,30,5,f,1
29,1,3,43,2,8,5,m,6
48,1,18,27,2,2,2,m,2
25,0,3,21,1,4,5,f,1
35,0,7,152,4,3,3,m,1
28,1,1,91,5,1,4,f,5
42,1,14,61,5,9,4,m,2
53,1,1,117,1,32,5,m,2
67,1,16,10,1,2,3,m,2
31,1,7,95,3,8,4,f,2
43,0,13,67,1,17,2,m,1
60,1,24,60,2,20,4,m,2
41,0,18,198,4,9,4,m,1
62,1,6,63,4,13,4,m,2
37,0,7,28,1,2,1,f,2
37,0,6,46,4,8,3,f,4
19,1,0,20,2,0,3,f,5
63,1,34,69,1,21,5,m,2
41,0,15,69,3,15,2,f,4
59,1,40,57,1,3,3,f,2
70,0,26,9,2,5,2,m,1
44,1,8,48,3,7,3,m,3
53,0,13,129,1,26,4,f,1
37,1,7,40,1,11,3,f,4
64,1,43,15,2,6,3,f,2
56,1,7,86,1,29,4,m,2
31,1,3,42,1,13,2,m,3
29,1,10,29,3,1,2,m,3
51,1,23,77,3,0,1,f,4
25,1,2,22,1,5,3,f,5
44,1,3,139,4,14,5,m,2
35,0,14,35,2,4,4,f,1
29,0,0,30,3,7,3,m,1
60,1,8,114,4,27,3,m,4
49,1,28,38,4,0,1,f,2
21,0,2,28,3,0,3,m,4
63,0,6,11,2,17,4,f,1
20,0,1,18,3,0,1,m,1
33,0,11,36,1,10,1,f,1
61,0,28,24,1,1,1,m,1
53,1,32,34,3,12,3,f,4
35,0,1,47,3,14,5,m,1
46,0,2,49,1,22,4,f,1
23,0,1,19,1,0,2,f,1
47,0,12,57,2,6,2,f,1
49,1,29,86,2,2,4,f,2
43,0,6,101,4,1,1,f,1
64,0,3,11,4,31,4,f,1
53,1,19,227,2,28,5,m,4
32,1,5,18,2,3,3,f,4
28,1,9,43,4,2,3,f,5
25,1,6,26,4,1,1,f,4
31,1,11,25,5,2,2,m,4
46,0,6,77,3,16,4,f,1
34,1,14,31,1,9,1,f,5
26,1,1,23,1,10,3,f,5
42,1,23,41,1,12,4,m,6
58,1,29,496,3,34,5,f,4
55,0,29,89,4,19,3,m,1
63,1,26,91,2,22,3,f,2
59,1,11,141,1,23,5,m,2
43,1,14,54,2,12,4,m,4
41,0,10,27,1,3,2,f,1
34,1,13,33,3,3,3,m,2
19,0,0,16,2,0,1,f,3
27,0,5,26,1,9,2,m,1
38,0,2,43,3,5,4,m,1
59,0,10,39,3,1,3,m,1
21,1,2,19,3,0,2,m,4
36,1,16,40,2,13,4,m,2
43,1,6,34,2,6,5,m,3
41,1,22,24,1,5,3,f,3
52,0,28,27,2,2,4,m,1
25,1,4,26,2,4,5,m,6
24,1,4,24,3,1,1,m,3
32,0,0,59,2,8,3,m,2
60,1,15,372,1,44,4,m,2
54,0,0,31,5,16,2,f,1
35,0,11,26,2,2,1,m,1
46,1,23,60,1,14,5,m,2
25,1,6,31,2,3,2,m,3
34,1,8,24,2,2,1,m,4
30,0,8,37,1,10,4,m,2
24,1,3,27,4,0,2,f,3
34,1,15,36,3,0,1,m,6
59,1,34,250,3,34,5,m,3
38,1,18,86,3,17,4,m,3
36,1,13,29,3,3,3,f,5
33,1,13,22,2,10,4,f,3
34,1,10,29,5,4,2,f,4
57,0,9,525,3,34,5,f,1
36,0,5,46,4,5,4,m,1
39,1,14,41,3,0,1,f,2
26,1,0,34,3,2,3,m,4
42,1,3,52,3,15,5,m,2
33,0,6,121,4,8,4,m,1
42,0,5,33,3,0,1,f,1
46,0,0,35,4,6,2,f,1
28,1,9,25,5,1,3,f,6
40,0,16,36,3,3,2,f,1
47,1,23,35,2,2,4,m,4
25,1,1,28,2,5,2,f,4
30,0,9,21,5,1,2,m,1
57,0,20,148,5,16,4,f,1
23,1,0,36,4,0,2,m,6
23,0,0,13,3,1,4,m,1
38,1,0,34,4,11,3,f,4
37,0,8,39,2,5,2,m,1
47,0,7,19,1,2,1,f,1
20,1,0,37,3,0,1,f,4
19,1,0,14,1,0,1,m,3
26,0,2,22,1,7,3,m,1
25,0,1,95,4,2,1,f,1
39,0,19,31,4,15,4,m,1
31,1,5,26,5,2,2,f,3
37,0,13,31,1,5,4,m,1
44,1,19,24,5,12,2,m,5
43,0,6,73,3,19,4,f,1
50,0,31,35,1,11,3,m,1
45,0,23,16,1,1,1,m,1
62,1,10,99,3,33,5,m,2
51,1,14,36,2,4,5,m,2
34,0,14,66,2,14,4,m,1
47,0,7,121,2,22,2,f,3
49,1,7,66,4,13,3,f,4
40,0,16,61,1,17,4,f,1
37,1,9,88,3,6,3,f,5
32,1,6,30,3,0,1,m,3
57,1,2,19,1,25,1,m,2
26,0,6,16,1,5,4,f,1
36,0,0,37,3,0,1,m,1
29,1,8,93,4,0,1,f,4
22,1,1,35,4,0,1,f,2
28,1,3,15,3,0,1,m,5
44,0,15,46,2,11,2,m,1
21,1,1,14,1,2,3,m,5
39,0,16,28,2,7,3,f,2
43,1,15,22,2,4,4,m,2
30,1,6,39,4,6,3,m,4
35,1,3,21,1,6,1,f,5
54,1,9,236,3,25,4,m,2
48,1,25,173,4,22,4,m,2
30,0,3,46,4,0,2,m,1
34,0,1,62,2,9,5,f,4
58,1,30,125,1,34,4,f,2
62,0,13,35,1,14,2,m,1
39,0,2,49,1,18,5,m,2
60,1,3,109,1,28,4,m,2
64,0,43,106,2,22,5,f,1
43,1,8,52,4,14,4,m,2
42,1,17,23,1,0,2,f,2
19,0,0,34,2,0,2,m,2
37,1,10,29,3,5,3,f,3
57,1,32,25,1,10,4,m,2
57,1,8,21,1,3,4,m,3
23,1,2,18,1,3,4,m,2
39,0,9,53,2,7,3,f,1
35,0,13,34,2,6,3,f,1
34,1,6,54,4,7,4,f,3
46,0,15,174,1,28,5,f,1
48,1,8,139,2,28,5,m,2
37,0,0,32,1,11,2,f,1
28,0,5,32,1,12,3,m,1
26,1,1,17,4,1,1,f,3
62,1,3,81,3,23,5,m,2
63,1,23,94,2,38,5,m,3
32,1,6,29,1,5,4,m,5
49,0,19,170,2,12,3,m,1
49,1,10,23,1,3,2,m,2
22,0,1,26,3,1,1,f,1
53,1,12,77,1,24,3,m,2
34,1,9,107,2,11,5,f,4
52,1,0,184,3,25,5,f,2
43,0,23,18,4,3,3,f,1
40,1,20,31,1,4,3,m,2
52,0,19,23,2,2,1,m,1
56,0,36,128,3,25,3,m,1
48,1,17,96,2,23,4,f,4
38,0,7,21,2,5,3,m,1
34,1,0,38,4,0,3,f,4
46,1,2,60,2,8,2,m,2
60,0,22,34,3,2,3,m,1
31,0,4,32,2,5,1,m,1
30,1,9,34,2,9,5,m,3
41,0,17,67,1,16,5,f,3
49,1,25,47,2,0,4,f,3
27,1,3,34,2,7,3,f,6
25,1,5,25,3,0,1,f,3
28,1,2,42,1,11,4,m,4
30,0,0,63,4,6,2,m,1
26,1,0,19,4,1,2,m,5
32,0,13,46,1,11,2,f,1
38,0,13,71,5,3,3,f,1
30,1,3,21,2,2,1,m,4
50,1,7,157,4,18,5,m,2
44,0,25,132,2,15,3,m,2
38,0,13,30,1,8,5,m,1
44,0,7,33,2,0,1,f,1
28,1,5,29,4,3,2,m,4
33,0,6,80,3,7,4,f,1
30,1,2,25,4,5,2,f,2
26,1,1,28,2,4,3,m,3
37,0,4,30,3,0,2,f,3
39,1,14,26,1,5,2,m,2
31,1,4,26,2,2,2,f,7
50,1,7,65,4,19,4,m,2
29,1,0,24,4,5,2,m,4
39,1,7,34,5,3,3,f,4
39,1,19,47,2,17,2,m,2
53,1,16,26,2,2,2,f,3
71,1,30,32,1,20,5,f,2
60,0,27,61,5,6,2,f,2
42,1,8,79,1,13,4,f,2
36,0,7,95,4,2,3,m,2
48,1,10,77,2,8,2,m,4
42,0,8,56,2,10,4,m,1
59,0,31,34,1,8,2,f,1
49,1,0,92,4,1,4,m,4
32,0,8,36,2,7,4,m,1
26,0,1,21,3,3,1,f,3
27,1,4,28,4,3,2,f,4
49,0,3,32,1,10,3,m,1
53,0,30,103,1,22,1,m,1
54,0,3,278,5,26,5,m,1
31,0,12,47,3,3,1,f,1
66,1,7,51,2,36,4,m,2
38,0,16,40,1,14,5,m,2
47,1,16,21,3,4,3,f,2
43,0,12,35,2,9,3,m,1
24,1,4,15,2,2,2,m,2
65,1,18,82,2,23,4,m,2
41,0,19,29,2,2,4,m,2
36,0,17,18,4,4,3,f,1
35,1,5,31,4,10,3,m,6
28,0,0,25,1,7,2,f,1
65,0,16,69,1,25,5,f,1
28,0,3,35,2,5,1,f,3
47,0,3,165,5,10,4,f,1
44,0,1,109,3,17,2,m,3
42,1,21,30,3,3,5,m,2
49,1,11,43,4,3,4,f,2
54,1,14,44,2,6,2,m,2
28,0,4,24,2,8,4,f,1
55,1,7,89,2,5,1,f,3
26,0,6,65,5,0,1,m,1
38,0,11,126,3,16,4,f,1
29,0,5,48,3,4,1,m,4
30,1,10,20,2,1,2,f,4
30,1,0,33,5,3,3,f,4
58,0,22,33,2,17,2,f,1
47,1,4,82,1,23,2,m,2
60,0,36,43,1,22,5,f,2
53,0,30,105,3,23,5,m,1
38,1,19,50,2,18,3,f,4
31,1,3,49,4,2,4,f,5
75,0,28,12,1,23,5,f,1
54,0,29,178,2,11,4,f,1
41,0,19,65,2,15,5,f,1
31,0,4,33,5,0,1,m,1
45,0,8,174,3,16,5,m,1
24,0,0,22,2,1,3,f,1
50,1,13,244,2,27,4,m,2
42,0,15,20,4,3,2,f,1
22,1,2,61,4,0,2,f,4
29,1,9,25,2,5,3,f,3
43,0,14,45,5,4,3,f,1
31,1,11,29,3,0,1,m,4
28,0,1,43,5,1,2,f,1
28,1,9,47,5,0,1,f,2
41,1,8,118,5,10,3,f,5
52,0,19,75,1,29,3,f,2
45,1,13,64,2,23,3,m,3
36,0,12,51,2,13,2,f,1
25,1,2,20,1,0,2,f,7
34,1,15,33,2,4,2,m,2
20,1,1,30,3,0,3,m,4
31,1,4,30,2,7,2,f,2
35,1,16,48,4,10,4,m,4
21,1,0,18,3,0,2,f,4
42,0,5,46,1,12,5,m,1
33,0,0,32,2,1,1,f,1
40,0,16,114,3,7,5,m,1
47,1,2,58,3,24,2,m,4
65,1,21,323,1,49,4,f,3
34,0,10,24,3,2,1,m,1
26,1,0,31,1,9,4,m,6
61,1,26,23,2,0,4,f,2
42,1,3,93,1,21,4,m,5
59,0,36,46,3,15,3,m,1
36,0,4,34,2,0,2,m,1
55,0,28,197,2,21,5,m,1
41,1,19,29,3,2,4,f,2
55,0,9,110,4,16,4,m,1
59,1,0,37,1,14,2,m,4
51,0,27,107,2,11,4,f,1
27,1,2,66,4,1,4,m,4
57,1,13,148,2,26,3,m,3
58,1,22,41,2,2,2,m,2
40,0,6,25,2,0,3,f,3
32,1,7,37,4,6,4,f,2
29,0,7,57,5,2,2,f,2
47,0,8,36,3,13,5,m,4
48,0,19,151,1,22,3,m,1
54,1,12,65,4,2,1,m,3
42,1,10,63,2,10,2,m,5
38,1,7,70,2,15,3,f,2
52,0,17,39,2,8,5,m,1
56,0,37,54,3,8,5,m,1
19,0,0,27,2,0,1,m,2
65,1,9,79,1,19,3,f,3
29,0,6,48,2,9,5,m,3
30,1,10,23,3,6,2,f,2
41,1,10,62,3,7,3,m,2
52,1,18,134,2,33,4,f,2
59,0,2,31,1,9,5,f,1
29,0,6,24,2,8,5,m,1
51,0,14,42,4,7,2,m,1
42,0,1,24,2,2,2,f,1
48,0,14,126,2,28,4,f,1
51,0,25,97,2,28,3,m,3
50,0,5,31,1,1,5,m,2
29,0,0,31,2,6,2,m,1
46,1,2,112,1,26,4,m,4
36,0,16,197,4,13,4,f,1
58,1,5,79,2,27,5,f,2
50,1,13,44,2,5,3,m,5
